name,id
Solitude,10281875
Cornice Express,10281878
Caples Crest,10281940
Iron Horse,10281941
Snowkirk,10282087
Sunrise (4),10282120
TC Express,32437279
Vista,32437282
The Reut,32437286
Bunny,125433277
Coyote,130099927
Cold Sholder,130099928
Hully Gully,130099929
Sunnyside,130099930
Deadwood Spur,130099931
Larry's Lip,130099932
Button Bowl,130099933
Bud's ALley,130099934
Herringbone Straight,130099957
Easy Rider,130099958
Conestoga,130100674
Hay Flat,130100675
Snowkirk,130100676
Shotgun,130100677
Flying Carpet,130100678
The Wall,130100679
Short Spoke,130100680
Wagon Trail,130100681
Lower Zachary,130100776
Lost Cabin,130100777
Headwaters,130100778
Buckboard,130100779
Dick's Drop,130100780
Monte Wolfe,130100781
Race Course,130100782
Mokelumne,130100783
The Wall,130100784
Look Out Janek,130100785
The Drain,130100786
Zachary,130100787
Lower Monte Wolfe,130100788
Graduation,130101292
Hole 'N' Wall,130101293
Olympic,130101294
School Run,130101295
Freee 'N' Easy,130101296
12,130101297
Squirrel Ridge,130101298
Funny Bunny,130101299
devil's Draw,249120428
Thunder Saddle,249120429
Elevator Shaft,249127126
The Wave,249127128
Happiness is,249127129
Covered Wagon,249127131
Eagle Bowl,249135814
Stump Run,249135815
Lightning,249135816
Chamoix,249135817
home Run to Timber Creek,249135974
rabbit Runs,249135975
Up'n'over,249135976
all the way,249136278
Cliff Chute,249136279
Notch chute,249136280
Shaffers Chute,249138285
Saddle Chute,249138286
Sister chute,249138287
Slide Mountain,258132198
13,258132361
Covered Wagon,258133458
Hell's Delight,470456688
Jeff's Line,470460941
KGF,470460942
Covered Wagon,470460947
Easy Rider,945373678
