name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Grub Stake,279118922,False,11.9,0,11.9,61.5,581.1
Interstate,279118924,False,27.4,0,27.4,128.9,377.3
Silver,279118925,False,22.4,0,22.4,115.8,420.3
Huckleberry Ridge,279118926,False,14.8,0,14.8,208.7,1443.8
Golden Eagle,279118930,False,22.4,0,22.4,225.1,969.1
Copper,279118932,False,24.7,0,24.7,102.4,339.7
Bonanza,279118935,False,22.4,0,22.4,239.9,1003.8
Gold,279118938,False,17.4,0,17.4,111.2,497.9
Montana Face,279123003,False,29.9,0,29.9,226.3,704.4
Hoot Owl,279123004,False,16.3,0,16.3,85.2,360.4
Rainbow Ridge,279123005,False,21.1,0,21.1,299.1,1715.2
Black BEar,279123006,False,20.9,0,20.9,97.5,410.6
Quicksilver,279123007,False,13.3,0,13.3,138.1,1417.5
Moose Lips,279123008,False,15.3,0,15.3,39.9,215.8
Copper Spur,279123009,False,15.7,0,15.7,18.1,118.4
Success,279123010,False,7.7,0,7.7,10.0,140.6
Niagra,279123011,False,27.3,0,27.3,129.1,368.3
Idaho Face,279123012,False,27.3,0,27.3,182.0,503.1
Rocking Thunder,279123013,False,17.7,0,17.7,79.1,344.8
Midway,279126158,False,12.2,0,12.2,43.4,374.4
Meadow,279126159,False,16.1,1,16.1,107.7,445.4
Purgatory,279126160,False,30.8,0,30.8,234.3,497.3
Lucky Friday Glades,279126161,False,22.8,1,22.8,130.8,391.9
Last Chance Glades,279126162,False,22.6,1,22.6,67.9,223.8
Whitetail,279126163,False,28.9,0,28.9,281.7,999.7
Cloud 9,279126164,False,23.4,0,23.4,230.8,939.4
Marmot,279126166,False,29.9,0,29.9,205.9,692.6
Keystone,279126168,False,23.8,0,23.8,252.0,962.1
Hercules,279126170,False,32.2,0,32.2,272.1,584.4
Buffalo Gulch,279126172,False,32.4,1,32.4,199.5,559.2
Sundance,279126173,False,30.9,0,30.9,309.7,962.4
Big Dipper,279126175,False,33.8,0,33.8,272.3,714.1
Red Dog,279126177,False,31.4,0,31.4,208.7,528.5
