name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _0,435147070,False,11.9,0,11.9,46.0,450.4
Sacajawea,472350383,False,24.7,0,24.7,470.8,1851.6
Sacjac Trees,472350384,False,24.6,0,24.6,168.7,455.3
Lewis and Clark,472350385,False,28.8,0,28.8,488.2,1802.2
Odyssey,472350386,False,14.8,0,14.8,86.3,403.1
Two Dot,472350387,False,30.8,0,30.8,512.7,1960.3
Super G,472350388,False,24.3,0,24.3,301.8,1275.6
 _3,473175757,False,9.0,0,9.0,29.8,325.0
Bobs Run,473175759,False,29.4,0,29.4,130.6,579.9
 _4,473175762,False,2.6,0,2.6,2.0,83.0
The Ripper,473175764,False,33.2,0,33.2,259.7,930.1
Oreo,473175768,False,17.2,0,17.2,107.3,1186.0
Hollywood Bowl,473175774,False,37.3,0,37.3,163.7,351.7
Lower Oreo,473190437,False,22.7,0,22.7,159.9,716.9
Elk Basin,473190438,False,21.5,0,21.5,202.2,1182.6
Dog Leg,473190439,False,23.2,0,23.2,100.6,395.7
Gun Smoke,473190440,False,18.2,0,18.2,183.6,1458.7
Sneaker,473190441,False,17.2,0,17.2,65.5,571.9
Holywood,473190442,False,32.8,0,32.8,137.3,615.1
Bear Claw,473190443,False,23.6,0,23.6,180.8,958.8
Speedway,473190444,False,17.3,0,17.3,201.6,1473.2
Boomer,473190445,False,13.7,0,13.7,42.1,400.0
Candy Stick,473190446,False,15.9,0,15.9,227.2,1919.8
Main Street,473190447,False,29.6,0,29.6,186.4,1279.3
Side Street,473190448,False,22.6,0,22.6,101.8,479.7
Lynx,473191998,False,20.8,0,20.8,57.0,192.9
Bobcat,473192000,False,20.3,0,20.3,71.0,278.7
Raven,473192003,False,12.3,0,12.3,18.8,199.3
Ice Tea,473192005,False,21.4,0,21.4,61.0,351.7
Bill's Run,473192008,False,23.8,0,23.8,66.5,228.7
Elk Point Trail,473192010,False,12.8,0,12.8,38.8,328.5
Hideout,473192013,False,24.2,0,24.2,137.2,579.0
 _5,473192016,False,19.4,0,19.4,74.2,335.1
Powder Bowl,473192018,False,21.1,0,21.1,113.5,555.7
South Face,473192021,False,28.0,0,28.0,158.4,484.3
North Face,473192023,False,38.5,0,38.5,201.4,548.4
Outlaw,473192025,False,38.7,0,38.7,101.6,255.4
Slide,473192028,False,31.6,0,31.6,68.7,237.0
Thunder,473192030,False,28.8,0,28.8,314.0,1013.4
 _6,473223598,False,15.4,0,15.4,93.0,592.6
 _7,473223601,False,13.8,0,13.8,34.1,219.2
Bunny Hill,473223602,False,8.3,0,8.3,12.5,106.5
Drifter,473223603,False,19.2,0,19.2,132.6,924.3
Lightening,473223604,False,30.8,0,30.8,174.6,528.7
 _8,473223605,False,15.3,0,15.3,73.9,307.3
Southern Comfort,473223606,False,28.1,0,28.1,233.7,845.7
Far Out,473223607,False,25.8,0,25.8,203.9,808.6
Moose Creek Trail,473223608,False,23.2,0,23.2,251.5,1479.2
Salmon,473223609,False,24.0,0,24.0,117.0,334.6
Chicken Out,473223610,False,15.6,0,15.6,41.4,246.1
Moose Creek Glades,473223611,False,28.0,1,28.0,163.4,591.0
