name,id
Poma,17023522
Lift 3,17023689
Lift 2,17024012
Chet's Dream,17024021
Lift 7,17024049
Lift 6,17024268
,17024331
Lift 4,17024533
Lift 9,42646654
Lift 8,42646657
Boomerang,102019582
Nix Nox,208425171
Spillway,208425173
Richard's Run,208425175
Busy Gully,208425178
Cat's Meow,208425179
Holy Cat,208425182
Cat Walk,208426162
Excelleration,208426167
Mambo,208426170
Fire Cut,208426792
North Turtle Creek,208426793
The Face,208428061
The Face,208428065
Chet's Run,208428069
The Face,208428070
,377602616
All Smiles,377602617
Avalanche Bowl,377602618
Double Dip,377602619
Over the Rainbow,377602620
Switchback,377602621
Take Off,377602622
Tempest,377602623
Tiger's Tail,377602624
Twist,377602625
Zig-Zag,377602626
Zig-Zag,377602627
Zoom,377602628
Keno,377703478
Blackjack,377703479
Dealer's Choice,377703480
Forest Meadow,377703481
Roulette,377703482
Rock Chutes,624120258
Hook 'em Horns,624120259
In The Mood,624120260
Zip Basin Street,624120261
The Plunge,624120262
Awesome,624120263
Sunburst Chutes,624124512
Splashdown,624124513
Scrub,624124514
Perfect Bowl,624124515
Telestar,624124516
Zip Trail,624124517
Sunburst Bowl,624124518
Super Nova,624124519
Super Nova,624124520
Velvet Hammer,624124521
Tickler Gulch,624124522
Zippity Split,624124523
Tickler,624124524
Field of Dreams,624124525
Marmot,624124526
Rock Chutes,624124527
East Ropes,624146724
West Ropes,624146725
Rainbow,624146726
Home Run,624146727
,624146728
North Blackjack,624146729
Straight Flush,624146730
Royal Flush,624146731
Deuces Wild,624146732
Porcupine Saddle,624146733
Wild Child,624146734
Tomahawk,624146735
South Chutes,624146736
South Chutes,624146737
North Chutes,624146738
North Chutes,624146739
North Chutes,624146740
Fail Safe,624146741
Bennett's Bowl,624146742
Drifter,624146743
South Turtle Creek,624146744
Tango Road,624146745
Creek Trail,624146746
Fire Bowl,624146747
Super Bowl,624146748
Jelly Roll,624146749
Jelly Roll,624146750
Jelly Roll,624146752
Primer Bowl,624146755
Our Bowl,624146757
No. 4 Headwall,624146760
Patrol Bowl,624146763
Patrol Bowl,624146764
Rookie Road,624146765
North Star,624146766
Challenger,624146767
Mercury,624146768
Apollo,624146769
