name,id
Trudys Run,230916036
Lower Red Line,230916084
Upper Red Line,230916161
Upper Magic Carpet,230916338
Lower Magic Carpet,230916339
Vertigo,230916417
Betwixt,231011093
Up Your Sleeve,231012319
Medium,231013439
Wand,231017281
Mystery,231018831
,231018834
Green Line,231019102
,231019375
,231019379
33 &amp; 3rd,231019602
Phoenix,231019953
Kinderspiel,231020205
Carumba,231021025
Show Off,231022216
,231022964
,231022965
,231022966
Trick,231025596
Twilight Zone,231026070
Black Magic,231026071
Black Line,231026072
,231026393
Witch,231026802
White Out,231026906
Hocus Pocus,231027033
,231027417
Terrain Park Tow,231027418
Goniff Glade,231027736
,231027906
Lower Wizard,231029071
Upper Wizard,231029074
,231029123
Broomstick,231029835
Broomstick,231029883
Master Magician,231030515
Lower Magician,231031018
Heart of Magician,231031019
Slide Of Hans,231031761
Sorcerer,231032916
Talisman,231033271
Potter,231033494
,231035288
Bail Out,231035373
,231035431
,231035739
Little Dipper,231035740
Link,231036639
,231036640
Enchanted Forest,231037222
The Wardrobe,231037223
Disappearing Act,231037224
The Hallows,231037225
Lower Magic Carpet,233003694
,233075039
Tubing Park Tow,233126116
Upper Magic Carpet,233407383
Upper Magic Carpet,233407384
Wand,233407385
Wand,233407386
Kinderspiel,233408242
Phoenix,233408246
Black Chair,233467623
Red Chair,233471851
Wand,233526506
Wand,233527284
Mystery,233527633
Trick,452504328
Green Chair,563746767
Upper Magic Carpet,655693910
Upper Magic Carpet,655693911
Séance,685754844
Learning Center,685754845
,685754846
