name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Contour,548623343,False,22.4,0,22.4,129.9,637.6
Ridge,548623344,False,15.7,0,15.7,73.9,439.4
New Ridge,548623345,False,11.2,0,11.2,31.5,253.6
Natural Park,548623346,False,14.6,0,14.6,35.5,168.8
Lower Ridge,548623347,False,11.5,0,11.5,33.2,341.4
Tyro,548623348,False,12.5,0,12.5,12.2,67.6
Twin Hemlocks,548623349,False,14.5,0,14.5,40.7,365.1
Whoopie,548623350,False,14.9,0,14.9,55.2,301.1
Snowfield,548623351,False,19.2,0,19.2,132.0,587.6
Shaker,548623352,False,20.8,0,20.8,93.9,382.6
Chute,548623353,False,18.5,0,18.5,99.5,409.7
 _1,548623354,False,10.2,0,10.2,8.3,57.4
 _2,548623355,False,14.1,0,14.1,22.6,102.9
Upper Snowfield,548623356,False,17.4,0,17.4,48.4,382.4
Upper Rocket,548812484,False,27.2,0,27.2,57.5,353.9
Exhibition,548812485,False,21.1,0,21.1,95.2,368.9
 _3,548812486,False,8.2,0,8.2,15.1,136.3
 _4,548812487,False,16.7,0,16.7,40.6,187.0
Rocket,548812488,False,21.3,0,21.3,83.5,288.6
Freefall,548812489,False,26.2,0,26.2,43.9,302.2
 _5,548812490,False,6.3,0,6.3,6.2,153.9
Logan's Run,548812491,False,9.4,0,9.4,13.1,132.2
Cliffs Ridge,548812492,False,23.3,0,23.3,114.9,510.4
Supreme,548812493,False,23.7,0,23.7,71.4,244.6
