name,id
Phoebe Snow,44670021
Smoke,44670024
Boomer,44670026
White Lightning,44670027
Cannonball,44670028
Long Haul,44670029
Iron Horse Lift,44670030
Shuttle Lift,44670031
Short Haul,44670032
Lower Fast Track,44670036
Upper Runway,44670037
Lower Runway,44670038
Snake;Upper Runway,44670040
Sidewinder,44670041
Spike,44670045
Highball,44670047
Easy Street,44670049
Mainline,44670051
,44670052
,44670053
,44670054
,44670055
Connection,44670060
,44670061
Connection,44670066
Limited,44670068
,45777671
Glades,245530666
Magic Carpet Lift,256656195
Snake,419781069
Switch,419781070
Whistler,419781072
Upper Fast Track,419781073
,419786145
Rattler,419786157
Runaround,419786846
