name,id
Summit Express,40016027
Sunrise Express,40016031
Pine Marten Express,40016034
Northwest Express,40016036
Outback Express,40016037
Skyliner Express,40016463
Sunshine Accelerator,40016465
Red Chair,134866490
Carrousel Chair,134866491
Rainbow Chair,134866492
Marshmallow,160695433
,160695436
,160695437
,160695438
,160695439
,160695440
,161136431
,161136432
,163681301
,163681302
,163681303
,163681304
,163681305
,163681309
,163681310
,163902394
,163902395
,163902396
,163902398
,163902399
,163902400
,163902401
,163902402
,163902404
,163902405
,163902406
,163902407
,163902408
Thunderbird,163902409
,163902410
,163902411
,163902412
,163902413
,163902414
,163902415
,163902416
,163902417
,163902418
Coffee,209483171
,209483172
,209483174
Olympian,209483175
,209483176
,209483179
Otter Mountain Carpet,209711988
,209711995
,209711997
,209711999
,209712000
,209712001
,209712003
,209712004
,209712006
,209712008
West Village Getback,219484669
Old Skyliner,219484670
Leeway,219484671
,219484672
,219484673
,219484674
,219484675
,219484676
Red Lift Line,219484677
,278750506
,278750507
,278750508
,278750509
,278750510
,341109680
,341109681
Grotto,341109682
Tippy Toe,341109683
Northwest Lift (Top),363297441
,363297444
,413777012
Cloudchaser,551301328
Skyliner Express,555822541
Pine Marten Lift,555881760
,766516487
,766516493
Carnival,775110275
Short Sands Family Cross,775110276
Alpenglow,775110277
Pacific City,775110278
The Point,775110279
West Village Getback,775110280
Home Run,775110281
Milkey Way,775110282
Sunshine,775110283
Wallaby,775110284
Old Outback,775110285
Cloudchaser Crossover,775110286
Wanoga Way,775110287
,775110288
Sunrise Getback,775110289
Jet Stream,775110290
Hemlock,775110291
Pine Cone,775110292
Sundog,775110293
White Pine,775110294
Clark's Jay,775110295
Cirrus,775110296
Convergence Zone,775110297
Bluebird,775110298
High Pressure,775110299
Low Pressure,775110300
East Catchline,775110301
Sunrise Getback,775110302
East Catchline,775110303
Sunrise Getback,775110304
Lava Tube Carpet,910655533
First Rays Carpet,910655534
Early Riser,910655535
Day Break,910655538
Early Riser,910655539
Morning Glory,910655540
Green Flash,910655541
