name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Bunny,1057669060,False,7.1,0,7.1,5.8,47.2
Showshoe,1057669061,False,8.1,0,8.1,6.7,48.3
Thalackers,1057669062,False,11.3,0,11.3,48.2,334.4
Sidewinder,1057669063,False,13.7,0,13.7,49.5,323.7
SAawtooth Ridge,1057669064,False,15.1,0,15.1,48.8,341.0
Easy Street,1057669067,False,15.4,0,15.4,29.1,241.5
Gasoline Alley,1057669068,False,12.8,0,12.8,29.9,192.8
Ryan's Run,1057669069,False,12.2,0,12.2,26.8,193.4
Flatiron,1057669070,False,9.1,0,9.1,9.7,70.7
Larkspur,1057669071,False,8.6,0,8.6,8.7,67.8
Crosscut,1057669072,False,9.6,0,9.6,7.7,79.7
Blue sky,1057669073,False,10.0,0,10.0,18.9,199.1
Chicken Chute,1057669074,False,11.6,0,11.6,42.2,290.4
Big Riskey,1057669075,False,17.2,0,17.2,41.7,211.8
Cheetah,1057669076,False,20.9,0,20.9,13.5,38.6
Grand River,1057669077,False,17.6,0,17.6,43.6,206.6
Osprey,1057669078,False,22.2,0,22.2,43.9,238.6
Golden Eagle,1057669079,False,17.6,0,17.6,43.7,205.5
Ore Creek,1057669080,False,15.0,0,15.0,41.6,214.4
Wolverine Way,1057669081,False,12.8,0,12.8,49.4,370.0
Spartan Street,1057669082,False,17.5,0,17.5,54.5,365.1
Jax Bowl,1057669083,False,20.5,0,20.5,47.8,384.5
Perks Folly,1057669084,False,29.8,0,29.8,45.0,112.3
Perks Folly_8,1057669085,False,27.2,0,27.2,43.3,107.4
Challenge,1057669086,False,32.3,0,32.3,39.2,77.0
Snyder's Escape,1057669087,False,13.4,0,13.4,37.9,266.8
