name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Little Bear,778984302,False,14.1,0,14.1,101.0,534.0
Fox Trot,778984303,False,19.2,0,19.2,68.7,355.6
Terrain Park,778984304,False,12.6,0,12.6,93.8,540.8
Old Barn Run,778984305,False,19.2,0,19.2,199.6,1477.0
Falling Star,778984306,False,28.4,0,28.4,283.4,822.3
Scout,778984307,False,24.4,0,24.4,134.4,436.2
Ephraim's Revenge,778984308,False,27.9,0,27.9,159.1,609.4
Black Bear,778984309,False,30.9,0,30.9,98.2,245.2
Whiskey,778984310,False,28.9,0,28.9,52.3,145.1
Shotgun,778984311,False,19.8,0,19.8,35.2,113.3
Buckshot,778984312,False,23.4,0,23.4,41.1,103.7
Timberline,778984313,False,27.4,0,27.4,94.2,296.3
Goldrush,778984314,False,28.0,0,28.0,253.3,812.0
Raven,778984315,False,25.4,0,25.4,118.6,340.6
Chainsaw,778984316,False,23.6,0,23.6,67.0,208.0
Stray Dog,778984317,False,25.5,0,25.5,211.0,639.4
Logger,778984318,False,21.1,0,21.1,44.6,152.5
Bullseye,778984319,False,19.8,0,19.8,51.4,167.5
Recon,778984320,False,21.6,0,21.6,54.4,181.5
Lolly Lolly Lolly,899596771,False,19.7,0,19.7,289.2,2400.9
Raays,899596772,False,17.8,0,17.8,27.1,396.3
Show me,899596773,False,28.5,0,28.5,241.1,694.4
Great Odin's Raven,899596774,False,31.3,0,31.3,166.2,459.7
Valkyrie,899596775,False,30.1,0,30.1,387.9,1168.5
2020,899596777,False,33.4,0,33.4,419.6,1297.9
Bifrost,899596778,False,29.8,0,29.8,69.0,406.8
TBS,899596779,False,31.6,0,31.6,108.4,237.5
Pine Creek,899596780,False,40.0,0,40.0,212.1,601.2
Viking Highway,899596781,False,13.1,0,13.1,19.4,373.5
 _0,899596782,False,38.0,0,38.0,56.4,137.7
Wasatch,1032427106,False,17.9,0,17.9,48.3,333.7
Hiccup,1032427107,False,19.0,0,19.0,216.0,1985.3
It'sa Start,1032427108,False,21.9,0,21.9,113.7,396.0
Righty Tighty,1032427109,False,26.3,0,26.3,170.6,493.4
NIMBY,1032427110,False,28.6,0,28.6,138.4,367.7
Wasatch_1,1032427111,False,23.9,0,23.9,20.9,150.8
