name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
East Confusion,331213359,False,24.2,0,24.2,184.1,542.3
Evershine Ridge,331213360,False,19.7,0,19.7,358.8,1912.9
Headache,331213361,False,24.8,0,24.8,168.6,442.0
Hindsight,331213362,False,25.0,0,25.0,154.9,403.4
Mid Confusion,331213363,False,23.5,0,23.5,191.9,549.9
Townsight,331213364,False,26.3,0,26.3,302.0,914.0
West Confusion,331213365,False,24.1,0,24.1,209.6,554.7
 _0,331240120,False,17.3,0,17.3,74.3,426.7
 _1,331240122,False,17.4,0,17.4,82.2,631.5
 _2,331240128,False,27.0,0,27.0,64.9,156.0
 _3,331240130,False,22.1,0,22.1,55.5,309.1
Aspen,331240131,False,16.0,0,16.0,46.1,205.3
Aspen_4,331240132,False,29.3,0,29.3,262.7,632.3
Because,331240133,False,13.5,0,13.5,71.2,445.1
Big Mother,331240134,False,25.0,0,25.0,241.9,859.5
Bonanza,331240135,False,23.6,0,23.6,299.9,1425.1
Boomer,331240136,False,23.6,0,23.6,309.1,1105.9
Breathless,331240137,False,30.8,0,30.8,329.0,914.9
Bruce's Blvd West,331240138,False,15.0,0,15.0,30.1,358.5
Bruce's Blvd,331240139,False,12.9,0,12.9,80.5,529.6
Compromise,331240140,False,28.4,0,28.4,222.8,635.9
Daisy Mae,331240142,False,22.7,0,22.7,255.5,825.2
Dogpatch,331240143,False,25.4,0,25.4,172.6,479.7
East Beginner,331240144,False,16.8,0,16.8,81.4,388.2
East Mushroom,331240145,False,26.0,0,26.0,208.6,592.0
East Road,331240146,False,12.8,0,12.8,211.9,2097.8
Gene's Choice,331240147,False,22.5,0,22.5,128.7,603.2
I Don't Care,331240148,False,21.6,0,21.6,155.7,577.5
Li'l Abner,331240149,False,25.1,0,25.1,206.9,643.0
Little Mother,331240150,False,31.3,0,31.3,125.4,309.1
Lone Spruce,331240151,False,23.6,0,23.6,250.4,775.9
Lower Traverse,331240152,False,11.0,0,11.0,72.9,545.5
Lumberyard,331240153,False,16.3,0,16.3,80.8,429.7
Lumberyard_5,331240154,False,27.3,0,27.3,245.0,606.4
Ma Bell,331240155,False,24.7,0,24.7,107.2,357.0
Mal's Run,331240156,False,28.7,0,28.7,245.8,636.9
Nuther Mother,331240157,False,31.3,0,31.3,288.9,763.3
One More Time,331240158,False,25.5,0,25.5,211.8,731.0
Precious,331240159,False,29.0,0,29.0,306.7,868.2
Pussycat,331240160,False,23.2,0,23.2,306.0,1022.4
Salamander Gully,331240161,False,14.4,0,14.4,103.1,681.5
Sidewinder,331240162,False,32.2,0,32.2,350.5,1025.4
Sundance,331240163,False,25.8,0,25.8,162.4,457.9
West Beginner,331240164,False,19.0,0,19.0,82.5,439.7
West Mushroom,331240165,False,25.4,0,25.4,110.1,295.9
Rim Run,331240166,False,22.4,0,22.4,137.4,932.7
Why Not,331240167,False,27.4,0,27.4,274.1,826.5
Wildcat,331240168,False,26.9,0,26.9,331.2,1030.6
Road 0,713190837,False,10.6,0,10.6,222.8,1949.3
Redemption,785646161,False,11.7,0,11.7,33.5,318.1
 _6,983732418,False,22.6,0,22.6,48.2,179.2
Bone Crusher Rocks,986823767,False,17.6,0,17.6,16.6,54.9
Triple Threat,986823781,False,12.7,0,12.7,47.0,233.2
