name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Seedling,278379821,False,7.6,0,7.6,8.8,85.3
Tamarack,278379822,False,9.8,0,9.8,26.1,172.8
Bristlecone,278379824,False,8.7,0,8.7,20.1,154.3
Cedar Bowl,278379826,False,11.9,0,11.9,37.0,229.5
Landslide,278379829,False,11.9,0,11.9,40.3,240.3
The Wall,278379831,False,31.5,0,31.5,44.3,187.3
Phase 1,278379833,False,18.3,0,18.3,72.2,302.5
Bumper,278379835,False,16.0,0,16.0,36.4,131.3
Moguls,278379837,False,15.0,0,15.0,21.0,83.9
Bumper_0,278379839,False,12.6,0,12.6,12.5,83.0
Shaboom,278379840,False,16.8,0,16.8,69.7,309.0
Crisis,278379842,False,17.0,0,17.0,52.2,311.4
Snowbird,278379844,False,13.8,0,13.8,50.1,305.7
Pinery,278379846,False,12.3,0,12.3,21.2,126.7
Quicksilver,278379849,False,12.0,0,12.0,76.2,493.1
Mansion Run,278379851,False,11.8,0,11.8,48.4,354.8
Timberline,278383198,False,13.9,0,13.9,42.6,287.6
