name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Turnpike,353181100,False,18.8,0,18.8,152.8,647.1
 _0,353181101,False,12.2,0,12.2,140.4,1044.4
 _1,353181102,False,12.4,0,12.4,23.9,341.9
Auto Bahn,353181103,False,14.9,0,14.9,51.9,336.5
Bear Paw,353181104,False,32.6,0,32.6,43.9,131.2
Big Silver,353181105,False,28.0,0,28.0,97.8,307.7
Bigfoot,353181106,False,26.6,0,26.6,76.7,223.3
Bobcat,353181107,False,21.8,0,21.8,121.1,506.0
Buckin Chute,353181108,False,19.4,1,19.4,82.4,401.2
Cariboo,353181109,False,21.9,0,21.9,89.4,331.6
Columbine,353181110,False,21.0,0,21.0,203.1,889.5
Flintlock,353181111,False,26.1,0,26.1,79.8,218.2
HFNT,353181112,False,27.3,0,27.3,62.4,222.9
Hancock,353181113,False,21.1,0,21.1,137.8,567.2
Little Silver,353181114,False,25.5,0,25.5,42.6,135.6
Lobo,353181115,False,32.9,0,32.9,357.4,908.0
Lower Continental,353181117,False,29.8,0,29.8,123.5,483.6
Lower Royal's,353181118,False,23.0,0,23.0,92.8,416.1
Meeteetse Trail,353181119,False,26.1,0,26.1,261.2,1359.5
Miami Beach,353181120,False,19.7,0,19.7,138.6,702.7
North 40,353181121,False,29.9,0,29.9,185.5,745.8
Paradise,353181122,False,22.0,0,22.0,260.8,1272.8
Pine Ridge,353181123,False,31.6,0,31.6,131.5,498.6
Rabbit Trails,353181124,False,13.0,1,13.0,64.6,410.7
Royal's Run,353181125,False,25.2,0,25.2,122.2,665.8
Silver,353181126,False,20.9,0,20.9,103.8,442.7
Tipi Trail,353181127,False,15.9,0,15.9,123.6,1176.0
Tipi Trail_2,353181128,False,18.0,0,18.0,65.1,298.1
Winchester,353181129,False,30.0,0,30.0,179.9,512.3
#4 Road,353243855,False,10.9,0,10.9,44.1,408.1
 _3,353243856,False,15.0,0,15.0,141.3,918.1
 _4,353243859,False,16.3,0,16.3,78.8,396.6
 _5,353243860,False,21.9,0,21.9,59.1,247.1
1st Street,353243861,False,19.3,0,19.3,38.3,129.7
2nd Street,353243862,False,28.7,0,28.7,89.7,224.9
3rd Street,353243863,False,24.5,0,24.5,68.5,191.3
Barriers,353243864,False,26.7,0,26.7,345.8,1223.8
Berry's,353243865,False,27.2,0,27.2,146.2,343.7
Boomerang,353243866,False,32.8,0,32.8,131.7,348.3
Drainage,353243867,False,38.3,0,38.3,482.0,1248.3
Drifter,353243868,False,26.1,0,26.1,245.3,1313.3
Face of M,353243869,False,30.8,0,30.8,68.6,159.3
Hellroaring,353243870,False,33.2,0,33.2,362.5,969.0
Jones Park,353243871,False,30.9,1,30.9,97.9,312.6
Latigo,353243872,False,26.1,0,26.1,382.1,1358.5
Lazy M,353243874,False,26.2,0,26.2,441.3,1572.4
Little Forest,353243877,False,28.3,1,28.3,81.6,221.3
Little Tree,353243878,False,31.0,0,31.0,88.2,219.2
Lodge Trail,353243879,False,27.6,1,27.6,145.6,531.9
Lower Barriers,353243880,False,23.9,0,23.9,74.7,564.6
Lower Limited,353243881,False,28.4,0,28.4,159.0,433.4
Lynn's Run,353243882,False,30.8,1,30.8,174.0,548.5
Ringer's Run,353243883,False,32.6,1,32.6,174.7,340.8
Thompson's,353243884,False,29.8,0,29.8,313.5,860.6
Upper Continental,353243885,False,30.6,0,30.6,302.5,828.7
Upper Limited,353243886,False,33.8,0,33.8,195.0,496.4
Widow Maker,353243887,False,37.4,1,37.4,98.7,226.9
 _6,641442902,False,15.4,0,15.4,19.3,76.7
Sidesaddle,757057190,False,16.8,0,16.8,56.6,554.4
Hellroaring Traverse,757057191,False,21.7,0,21.7,93.4,430.7
True Grit,757057192,False,39.7,0,39.7,363.9,1063.0
Headwaters,757057193,False,37.2,0,37.2,358.3,1618.0
Headwaters_7,757057194,False,38.0,0,38.0,320.4,677.4
Sluice Box,757057195,False,36.5,0,36.5,273.6,579.9
Coal Chute,757057196,False,37.2,0,37.2,285.0,598.5
