name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _0,331103210,False,15.0,0,15.0,86.4,534.4
 _1,331103213,False,7.2,0,7.2,8.5,90.7
 _2,331103215,False,15.8,0,15.8,206.2,1263.2
Greg's,331103219,False,29.0,0,29.0,39.3,97.4
Burn,331103220,False,29.2,0,29.2,38.1,105.9
 _3,331103222,False,29.4,0,29.4,54.2,155.1
 _4,331103224,False,9.0,0,9.0,11.0,91.8
 _5,331103227,False,17.0,0,17.0,24.4,270.6
 _6,331103229,False,16.3,0,16.3,66.4,327.5
 _7,331103231,False,13.1,0,13.1,48.0,302.9
 _8,331103234,False,19.3,0,19.3,84.0,376.8
Aspen Bowl,331103236,False,21.1,0,21.1,80.7,339.3
Aspen Narrows,331103238,False,14.5,0,14.5,47.3,263.8
Aspen,331103241,False,16.1,0,16.1,174.5,909.6
Cibola Cut Off,331103244,False,18.8,0,18.8,64.3,340.3
Cibola Ridge,331103246,False,13.5,0,13.5,76.4,444.9
Cibola,331103249,False,14.4,0,14.4,411.1,2289.0
Diablo,331103256,False,22.1,0,22.1,243.4,1103.9
Double Eagle 2,331103259,False,16.3,0,16.3,128.9,628.8
Double Eagle,331103262,False,20.8,0,20.8,360.2,1801.7
Exhibition,331103266,False,19.7,0,19.7,269.7,1173.3
Foster Murphy,331103270,False,22.4,0,22.4,111.3,580.7
Fred's Run,331103274,False,22.1,0,22.1,288.4,1364.2
Hups,331103277,False,14.9,0,14.9,195.1,1359.5
Inhibition,331103280,False,24.3,0,24.3,294.2,1331.0
La Madera,331103286,False,20.7,0,20.7,183.5,834.8
Little Suicide,331103290,False,31.2,0,31.2,31.1,92.7
Lower Slalom,331103293,False,22.7,0,22.7,123.5,609.2
Race Arena,331103297,False,15.8,0,15.8,54.6,304.1
Rob's Run,331103300,False,24.6,0,24.6,79.0,278.3
Sandia,331103303,False,18.2,0,18.2,182.8,874.7
Sandia_9,331103305,False,27.7,0,27.7,27.8,63.9
Suicide,331103307,False,30.9,0,30.9,36.7,101.2
 _10,761918935,False,26.6,0,26.6,37.4,145.9
 _11,842064172,False,14.7,0,14.7,21.8,143.5
