name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Forest Service Road 834,5433648,False,12.2,0,12.2,185.1,1941.2
 _1,352840767,False,6.3,0,6.3,10.0,110.3
 _2,352840768,False,17.5,0,17.5,63.6,264.9
 _3,352840769,False,8.5,0,8.5,22.8,156.6
 _4,352840770,False,13.5,0,13.5,28.3,163.5
Arkansas Traveller,352840771,False,11.7,0,11.7,80.0,977.7
Big Seven,352840772,False,26.6,0,26.6,276.0,1036.9
Black Diamond,352840774,False,24.9,0,24.9,262.8,1208.0
Brown Eyed Queen,352840775,False,17.2,0,17.2,89.6,549.3
Compromise Pass,352840777,False,10.7,0,10.7,56.7,482.8
Cumberland,352840778,False,15.6,0,15.6,160.8,1228.4
Dynamite,352840779,False,30.3,0,30.3,107.5,260.3
Erisco,352840780,False,22.0,0,22.0,89.6,334.8
Forest Service Road 834_5,352840781,False,5.2,0,5.2,34.0,617.0
Forest Service Road 834_6,352840783,False,7.9,0,7.9,27.6,374.9
Geronimo,352840788,False,34.7,0,34.7,149.6,383.8
Glory Hole,352840789,False,33.8,0,33.8,142.1,311.2
Golden Goose,352840790,False,20.0,0,20.0,201.7,1146.0
Golden Goose_7,352840791,False,14.9,0,14.9,93.6,544.0
Good Luck,352840792,False,26.2,0,26.2,170.0,445.6
Gun Barrel,352840793,False,34.3,0,34.3,126.1,275.8
James Bond,352840794,False,18.8,0,18.8,129.8,800.7
King's Ridge,352840795,False,24.9,0,24.9,352.2,1816.5
Last Chance Gulch,352840796,False,9.6,0,9.6,110.3,1360.6
Mizpah,352840797,False,16.7,0,16.7,127.3,717.1
Pan Handle,352840798,False,20.3,0,20.3,126.7,581.2
Pay Dirt,352840799,False,25.1,0,25.1,237.1,873.2
Pay Dirt_8,352840800,False,11.6,0,11.6,35.2,230.1
Poma Line,352840801,False,19.0,0,19.0,71.2,291.0
Quicksilver Lower,352840802,False,17.2,0,17.2,188.1,925.2
Quicksilver Upper,352840803,False,26.8,0,26.8,77.0,197.2
Ripley Lower,352840804,False,18.4,0,18.4,112.2,659.6
Ripley Upper,352840805,False,21.3,0,21.3,175.6,780.7
Ruby Gulch,352840806,False,20.7,0,20.7,230.5,1210.5
Ruby,352840807,False,27.8,0,27.8,190.1,586.0
Second Thought,352840808,False,27.4,0,27.4,152.6,421.0
Sluice Box,352840810,False,19.9,0,19.9,98.8,419.8
Speculation,352840811,False,26.4,0,26.4,85.3,272.0
The Meadows,352840812,False,15.0,0,15.0,51.0,307.6
