name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _0,331299603,False,8.6,0,8.6,6.2,91.7
 _1,331299605,False,11.2,0,11.2,14.2,93.9
Beep Beep,331299607,False,23.7,0,23.7,66.0,205.1
Brandy,331299609,False,17.1,0,17.1,66.2,438.2
Butterfly,331299612,False,20.3,0,20.3,78.3,244.9
Caboose,331299614,False,21.5,0,21.5,44.2,150.5
Candy,331299616,False,14.4,0,14.4,66.2,477.8
Don Diego,331299619,False,24.2,0,24.2,132.4,538.9
Down Fall,331299622,False,20.4,0,20.4,48.9,196.4
Flower,331299626,False,25.6,0,25.6,120.5,388.8
Howdy,331299629,False,17.6,0,17.6,83.6,434.6
Lower Bambi,331299633,False,11.2,0,11.2,27.9,280.3
Lower Gamble,331299634,False,20.2,0,20.2,97.4,311.8
No Caboose,331299635,False,24.0,1,24.0,95.4,257.9
No Whiners,331299640,False,27.9,0,27.9,215.8,720.6
Oops,331299642,False,35.6,0,35.6,148.7,409.1
Oops_2,331299645,False,22.7,0,22.7,76.9,407.5
Paul's Folly,331299647,False,21.6,0,21.6,84.5,262.2
Practice Slope,331299650,False,13.6,0,13.6,27.9,150.3
Razzmataz,331299652,False,23.7,1,23.7,45.1,275.8
Rolling Rock,331299655,False,21.0,0,21.0,81.9,300.0
Rufous,331299657,False,22.2,0,22.2,124.5,450.1
Salt Lick,331299660,False,19.4,0,19.4,105.0,521.7
Sassafras,331299663,False,18.3,0,18.3,128.3,1011.9
TS,331299667,False,27.8,0,27.8,74.3,225.2
Thumper,331299671,False,19.7,0,19.7,74.3,281.6
Thumper_3,331299673,False,14.7,0,14.7,25.3,164.1
Uno,331299676,False,20.0,0,20.0,105.8,394.8
Upper Gamble,331299678,False,30.8,0,30.8,142.3,417.6
Wormwood,331299680,False,30.1,1,30.1,150.9,487.4
Worm,331299683,False,25.4,1,25.4,113.5,401.4
Bambi,331299686,False,15.8,0,15.8,105.0,792.7
Smash Chicken,755938418,False,14.5,0,14.5,41.1,289.7
Butterfly_4,755938419,False,18.3,0,18.3,31.0,122.7
Faline,755938420,False,21.4,0,21.4,56.8,185.0
Beep Beep_5,755938421,False,12.9,0,12.9,35.9,186.8
Howdy_6,755938422,False,18.2,0,18.2,53.4,209.7
Badger's Trail,755938423,False,13.4,0,13.4,42.0,320.6
 _7,755938424,False,4.0,0,4.0,3.9,52.9
