name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Whitewater,148531213,False,19.2,0,19.2,90.8,441.2
Big Bear,756340745,False,21.2,0,21.2,86.1,451.7
Log Jam,756340746,False,22.0,0,22.0,84.9,452.2
Homestead,756340747,False,10.3,0,10.3,91.7,805.4
Hot Cider,756340751,False,14.1,0,14.1,92.4,569.4
North Forty,756340752,False,12.2,0,12.2,74.5,462.3
Spillway,756340756,False,13.1,0,13.1,91.3,534.4
Double Doodle,756340757,False,14.5,0,14.5,91.3,582.0
Sunrise,756340758,False,12.6,0,12.6,48.6,323.9
The Rapids,756340759,False,13.1,0,13.1,42.2,255.5
Snowshoe,756340760,False,11.2,0,11.2,44.4,310.0
Otterslide,756340761,False,18.8,0,18.8,51.0,217.9
Timberdoodle,756340762,False,11.2,0,11.2,70.9,667.3
Maple Syrup,756340763,False,10.0,0,10.0,86.2,958.9
Sunrise_0,756340772,False,16.5,0,16.5,48.4,283.0
Otterslide_1,756340773,False,16.7,0,16.7,23.0,88.5
Bambi and Bunny Plyaground,756340776,False,3.3,0,3.3,5.0,98.5
Gentle Ben,756340778,False,4.7,0,4.7,4.0,49.8
