name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Way Back,275549966,False,9.9,0,9.9,56.4,368.9
Sitzmark,275549969,False,15.6,0,15.6,234.2,1137.9
Peek a Boo,275549972,False,13.0,0,13.0,49.6,308.4
Pando,275549975,False,15.9,0,15.9,278.9,1344.2
Black Powder,275549978,False,16.0,0,16.0,347.2,1843.5
Lower Buckeye,275549981,False,12.3,0,12.3,110.2,646.6
Homestake,275549984,False,15.4,0,15.4,270.1,1370.3
Trail's End,275549988,False,15.4,0,15.4,315.3,1659.9
Vendome Burn,275549991,False,14.0,0,14.0,84.2,448.0
Molly Mayfield,275549994,False,15.8,0,15.8,326.1,1697.4
 _1,275549997,False,9.0,0,9.0,29.0,215.2
10th Mountain,275550000,False,15.9,0,15.9,164.2,760.7
Lower Last Chance,275550003,False,15.5,0,15.5,111.5,678.0
Last Chance,275551159,False,15.5,0,15.5,108.3,565.7
Buckeye,275551160,False,17.0,0,17.0,97.4,481.9
Eagle,275551161,False,15.6,0,15.6,242.0,1190.3
Treasure Trove,275551162,False,17.0,0,17.0,103.5,509.7
Burnout,275551163,False,18.7,0,18.7,143.0,615.2
Ambush,275551164,False,15.9,0,15.9,236.7,1121.1
Slade's Run,275551165,False,16.4,0,16.4,140.6,648.0
Powerline,275551166,False,15.0,0,15.0,221.6,1140.5
Tenderfoot,275551167,False,16.6,0,16.6,291.9,1712.9
Nightmare,275551980,False,23.8,0,23.8,229.1,964.1
Greendoor,275551981,False,17.3,0,17.3,182.8,683.8
Kamikaze,275551982,False,25.1,0,25.1,157.7,588.1
Powderkeg,275551983,False,23.2,1,23.2,137.3,506.5
Motherlode Flats,275551985,False,10.0,0,10.0,67.8,528.7
Slot,275551986,False,20.7,0,20.7,31.5,113.9
Timberbrash,275551987,False,14.1,1,14.1,84.7,520.1
Corkscrew,275551988,False,18.5,1,18.5,140.1,988.0
Motherlode,275551989,False,18.3,0,18.3,115.6,679.4
The Alley,275551990,False,17.6,0,17.6,81.5,442.9
Piney,275551991,False,22.7,0,22.7,118.4,500.5
