name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Bighorn,208099165,False,31.2,0,31.2,164.3,411.9
Exhibition,208099166,False,31.2,0,31.2,204.2,432.5
Upper Exhibition,208099167,False,37.7,0,37.7,196.9,319.2
Cougar,208099168,False,31.9,0,31.9,175.4,470.7
Belly Roll,208099169,False,34.7,1,34.7,73.8,133.6
Holy Land,208099170,False,25.7,0,25.7,76.7,274.9
Bison,208099171,False,32.7,0,32.7,127.4,392.9
Kelly's Alley,353516271,False,29.1,0,29.1,227.5,660.0
 _0,353516272,False,19.3,0,19.3,106.6,566.8
 _1,353516273,False,21.0,0,21.0,75.3,322.0
 _2,353516274,False,14.2,0,14.2,22.7,224.1
 _3,353516275,False,33.1,0,33.1,76.3,215.9
 _4,353516276,False,30.5,0,30.5,124.9,250.7
Bearcat Glades,353516277,False,32.6,1,32.6,161.7,373.5
Bearcat,353516278,False,37.8,0,37.8,184.8,370.1
Belly Roll_5,353516279,False,37.0,0,37.0,67.9,167.3
Belly Roll_6,353516280,False,32.5,0,32.5,140.4,257.7
Elk,353516281,False,30.1,0,30.1,170.0,327.1
Lower Elk,353516282,False,24.6,0,24.6,93.9,234.7
Slow Trail,353516283,False,22.7,0,22.7,426.7,3118.6
Flying Squirrel,969252278,False,28.9,0,28.9,74.4,214.4
Moose,969252279,False,29.9,0,29.9,61.9,185.8
Towers,969252280,False,20.4,0,20.4,31.2,104.8
Snake River Run,969252281,False,23.1,0,23.1,110.5,321.1
Cats,969252282,False,18.5,0,18.5,93.2,405.3
Turnpike,969252283,False,16.0,0,16.0,46.4,237.0
Return Trail,969252284,False,14.4,0,14.4,19.4,166.1
Jump Run,969252285,False,23.7,0,23.7,77.9,288.1
