name,id
Gadzoom,10124737
Aerial Tram,10125080
Gad Valley Road,10126153
Baldy,31845480
Mineral Basin,31845481
Peruvian,31845482
Little Cloud,31845483
Gad 2,31845484
Peruvian Tunnel,31845485
Wilbere Lift,137670513
Mid-Gad Lift,137670515
Chickadee Lift,137691201
Baby Thunder,137734920
Chickadee,261410171
Alice Avenue,261414374
Black Forest,261414377
Cirque Traverse,261414380
Dick Bass Highway,261414381
Gad Gulley,261414383
Harper's Ferry,261414384
Harper's Ferry,261414385
Harper's Ferry East,261414386
Junior's Powder Paradise,261414387
Lazy Susan,261414388
Organ Grinder,261414391
Regulator Johnson,261414392
Thunder Alley,261414394
Tiny Tiger,261414395
White Diamonds,261414396
West 2nd South On-Ramp,261414397
Chamonix Bowl,261416596
Bananas,265142715
Bluebell,265142716
Carbonate,265142717
Cat Crew Cutoff,265142718
Election,265142720
Goblin Gully,265142721
Lower Bassackwards,265142722
Lower Emma,265142723
Lowest Bassackwards,265142724
Madam Annie's,265142725
Mark Malu Fork,265142726
Middle Bassackwards,265142727
Middle Emma,265142728
S.T.H.,265142730
Tricep,265142731
Upper Bassackwards,265142732
Wilbere Cutoff,265142735
Wilbere Ridge,265142736
,265142737
Fields Cut-Off,265142738
Exit Gully,266494881
Upper Tiger Tail,266494882
Upper Mach Schnell,266494883
Gad 2 Return,266494884
Pearly Gates,266494885
Wilbere Bowl,266494886
Red Lens Line,266494887
Wilma's,266494888
Peruvian Gulch Trail,295816647
Chip's Run,304012027
Sneaky Pete,328646250
Big Emma,328647083
Rothman Way,445128732
Blue Angel,557341956
Defiance Ledge,557341959
High Saddle Traverse,557341960
The Fin,557341961
Figure 8 Bowl,557341962
Ted's Bowl,557341963
Middle Tiger Tail,557341964
Low Saddle,557341965
Silver Dipper,557341966
Nash Flora Lode,557341967
Blue By You,557341968
Lone Star,557341969
,557341970
49er Gully,557341971
Ski Patrol Gully,557341973
Luckey Boy,557341974
Claim Jumper,557341976
Bird's Nest,557341977
Bookmark Gully,557341978
,557341979
,557341981
,557341983
Bassanova,557341986
Mid-Baldy Traverse,557341988
High Ridge 3,557341991
High Baldy Traverse,557341994
Lupine Loop,557341999
Hot Lips Gully,557342004
Dalton's Draw,557342006
Lower Willows,557342007
Willows,557342008
Cliff Access,557342010
Oh My God,557342011
Blackjack Gully,557342014
Lightning Tree Gully,557342015
Blackjack Traverse,557342017
Round the World Traverse,557342018
Lower Silver Fox,557342019
Lower Primrose Path,557342020
Binx's Bumper,557342021
Adager,557342022
Route 4 Gully,557342024
Hot Foot Gully,557342025
Hubba Bubba,557342026
Think Young,557342027
Lower Primrose Path,557342028
Primrose Split,557342029
Middle Men's,557342030
Bicarbonate Gully,557342032
Shireen,557342037
Old Ladies,557342039
Rasta Chutes,557342044
Hoop's,557342047
Bonar's Pass,557342049
Knucklehead Traverse,557342052
,557342056
Regulator Gully,557342058
Bryce's Run,557342061
Lower Mach Schnell,557342064
Gadzooks,557342072
Elbow Proper,557342075
Thunder Junction,557342077
Lower Mini Miners' Camp,557342078
Upper Mini Miners' Camp,557342079
West 2nd Short,557342080
West 2nd South On-Ramp,557342081
Figure 8 Gully,557342082
,557342084
Chip's Face,557342091
Middle Chip's Run,557342094
Chip's Bypass,557342097
Lowest Chip's,557342100
Middle Cirque,564160429
Center of Gravity,776844932
Fields of Glory,776844933
Venus Line,776844934
West Baldy,776844935
Thanks for the Memories,776844936
The Keyhole,776844937
Shot,776844938
Dun Towers,776844939
Lower Cirque,776844941
Upper Cirque,776844942
Great Scott,776844943
Upper Primrose Path,776844944
Upper Silver Fox,776844945
Pucker Brush,776844946
Gad Chutes,776844947
Restaurant Roll,776844948
Barry Barry Steep,776844949
Temptation Chutes,776844950
Boundary Bowl,776844951
Thunder Bowl,776844952
White Rabbit,776844953
Mushroom Land,776844954
Richie's Run,776844955
The Endoras,776844956
Altar Bowl,776844957
Bookends Bowl Return Road,776844958
Almony Chutes,776844959
High Stakes,776844960
Not Quite Corn,776844961
Double Down,776844962
,776844963
Chamonix Bowl,776844964
Split Rock Gully,776844965
Chamonix Chutes,776844966
Livin' the Dream,776844967
,776844968
Miner's Road,846892617
Get Serious Chutes,914396271
Jones Ave,914396272
,976137517
Conveyor #2,976539206
Conveyor #3,976562095
Creek Road,977024751
West 2nd South Short,978281028
Gad Valley Road,978281029
,978281030
,978281031
,978281032
,978281033
,978281034
Gad Valley Road,990969459
Gad Valley Road,990969460
Miner's Road,994105784
Miner's Road,994105785
Gad Valley Road,994105786
Upper Big Emma,994105787
Upper Big Emma,994105788
Upper Big Emma,994105789
Gad Valley Road,994105790
Lautrenoe,994105791
Peruvian Gulch Road,994105793
Upper Chip's Run,994105794
Mineral Basin Trail,994105795
,994105796
Rothman Way,998947158
