name,id
Campground,17117578
Big Burn,17117775
Alpine Springs,17117822
Elk Camp,17117918
Village Express,17117920
Elk Camp Gondola,17118232
Assay Hill,17118605
Sheer Bliss,17118727
Coney Glade,135480761
Meadows,135480768
Sky Cab,135480769
Two Creeks,135480770
,232074914
Sam's Knob,233059990
Cirque,233059992
Scooper,258700714
Cabin,556749560
,556749563
Nor Way,556749565
Monkshood,556749568
Lower Banzai,556749569
Blue Grouse,556749570
Scooper (Lower),556749571
Hal's Hollow (Upper),556749572
Hal's Hollow (Lower),556749573
Scooper (Upper),556749574
Velvet Falls (Lower),556749575
Velvet Falls (Upper),556749577
Fanny Hill,556749580
Dawdler,556749583
Cookies,556749587
Camp Three,556749590
Rio,556749592
A-Line,556749593
Split Tree,556749594
Long Shot,556749595
East Branch,556749596
Cascade (Upper),556749597
West Fork,556749598
Eddy Out,556749599
Galavant,556749600
,556749601
Bottoms Up,556749602
Funnel,556749603
Funnel Bypass,556749604
Cascade (Lower),556749605
Creekside (Upper),556749606
Creekside (Lower),556749607
Drumstick,556749608
Sandy Park,556749609
Gunner's View,556749610
Bear Bottom,556749611
Grey Wolf,556749612
Bull Run,556749613
,556749614
,556749615
Coffee Pot,556749616
Adams' Avenue (Lower),556749617
Tom's Trace,556749618
Log Deck,556749619
Lodgepole,556749620
Lunkerville,556749621
Naked Lady,556749622
Assay Hill,556749623
Slider,556749624
Adams' Avenue (Upper),556749625
The Edge,556749626
Turkey Trot,556749627
Jack of Hearts,556749628
Green Cabin (Upper),556749629
Pipeline,556749630
Lunchline (Upper),556749631
Showcase,556749632
Reidar's,556749635
Granite,556749638
Grinder,556749641
Green Cabin (Lower),556749644
High Alpine,556749646
Rocky Mountain High,556749651
Glissade,556749654
Free Fall,556749656
West Face,556749659
Garrett Gulch,556749661
Mick's Gully,556749665
Bearclaw,556749669
Powderhorn,556749672
Dallas Freeway,556749675
Max Park,556749677
Whispering Jesse,556749680
Wineskin,556749682
Timberline,556749683
Shear Bliss,556749687
Trestle,556749689
Moonshine,556749691
Sunnyside,556749693
Sneaky's,556749694
Campground (Upper),556749695
Slot (Upper),556749696
Lunchline (Lower),556749697
Fast Draw,556749699
Promenade,556749701
Zugspitze,556749703
Ute Chute,556749705
Coney Glade,556749706
Banzai Ridge,556749709
,556749710
Wildcat (Lower),556749711
,556749713
Howler,556749714
Wildcat,556749717
Slot (Lower),556749720
Campground (Lower),556749723
High Pass,772798770
Cirque Headwall,772798771
East Wall,772798772
,772798773
Gowdy's,772798774
,772798775
Ptarmigan,772798776
AMF,772798777
Sheer Bliss,772798778
KT Gully,772798779
,772798780
,772798781
Hanging Valley,772798782
