name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Calamity,258507642,False,23.5,0,23.5,66.4,225.5
Laramie,258632109,False,20.3,0,20.3,157.5,718.6
Rattler,258632110,False,20.7,0,20.7,100.6,444.3
Rustler,258632111,False,21.0,0,21.0,101.1,434.5
Overland,258632184,False,20.0,0,20.0,43.2,153.1
Arapahoe,353290986,False,16.5,0,16.5,75.3,488.8
Blackfoot,353290987,False,6.2,0,6.2,22.3,539.5
Centennial,353290988,False,11.2,0,11.2,150.6,1650.0
Crazy Horse,353290989,False,26.5,0,26.5,149.4,716.4
Dakota,353290990,False,21.3,0,21.3,70.0,344.0
Geronimo,353290991,False,18.5,0,18.5,77.5,366.0
Great Escape,353290992,False,15.5,0,15.5,82.7,715.7
Gun Barrel,353290993,False,16.4,0,16.4,58.6,395.2
Gunslinger,353290994,False,12.4,0,12.4,7.7,37.1
Lower Drifter,353290995,False,10.0,0,10.0,64.4,771.4
Middle Drifter,353290997,False,12.9,0,12.9,94.6,740.8
Ogallala,353290998,False,20.9,0,20.9,142.6,699.4
Old 30 Meter,353290999,False,13.5,0,13.5,23.3,123.1
Pioneer,353291000,False,11.4,0,11.4,24.5,276.7
Rawhide,353291001,False,14.7,0,14.7,125.4,836.1
Round Up,353291002,False,12.7,0,12.7,47.1,569.6
Seminole,353291003,False,21.0,0,21.0,177.4,1284.0
Shoshoni,353291004,False,24.1,0,24.1,163.3,692.5
Sundance,353291005,False,27.1,0,27.1,173.1,802.2
The Chute,353291006,False,20.7,0,20.7,155.5,677.1
Warpath,353291009,False,11.8,0,11.8,55.7,562.3
Crazy Woman,673743291,False,19.0,0,19.0,32.9,121.5
Cheyenne,673743292,False,21.8,0,21.8,119.2,558.2
Gunslinger_0,673743293,False,18.9,0,18.9,91.0,383.1
Virginian,673743294,False,18.6,0,18.6,117.2,570.1
The Crow's Nest,673743295,False,17.8,0,17.8,32.5,133.1
Upper Drifter,673743296,False,12.6,0,12.6,104.0,1104.6
Odin,673743297,False,15.2,0,15.2,31.6,158.9
Opal,673743298,False,15.5,0,15.5,48.2,255.5
Autobahn,682031488,False,17.3,0,17.3,33.7,370.3
