name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
The Sound of Skiing,778125120,False,7.5,0,7.5,25.2,271.1
Maple Valley,778125121,False,11.0,0,11.0,60.3,491.8
South Fork,778125122,False,14.1,0,14.1,57.3,471.6
Rebel Yell,778125123,False,10.6,0,10.6,18.8,154.8
Valley View,778125124,False,11.1,0,11.1,124.4,1148.5
Rattlesnake Run,778125125,False,8.7,0,8.7,41.1,341.4
Ridge Run,778125126,False,14.3,0,14.3,48.2,269.6
Camelot Bowl,778125127,False,19.7,0,19.7,39.7,226.4
Tournament Pass,778125128,False,8.3,0,8.3,21.2,294.5
South Tournament,778125129,False,25.7,0,25.7,60.9,192.3
South Camelot,778125130,False,16.5,0,16.5,64.1,553.8
 _0,778125131,False,0.7,0,0.7,0.3,42.6
North Tournament,778125132,False,19.8,0,19.8,59.1,245.6
The Slot,778125133,False,19.7,0,19.7,67.6,270.9
Steins Chute Glade,778125134,False,22.8,1,22.8,56.7,205.7
Loren's Lollapaloosa,778125135,False,23.3,0,23.3,33.7,186.7
North Camelot,778125136,False,12.0,0,12.0,58.6,408.1
Boardwalk,778125137,False,7.0,0,7.0,8.8,88.4
Boardwalk_1,778125138,False,6.9,0,6.9,10.3,100.9
Kath Run,778125139,False,12.8,0,12.8,30.3,249.5
Leprechaun,778125140,False,12.7,0,12.7,39.0,390.3
Funland Terrain Park,778125141,False,16.7,0,16.7,70.4,492.6
NASTAR,778125142,False,14.1,0,14.1,79.7,456.5
 _2,778125143,False,4.0,0,4.0,4.7,99.6
Upper Macgully,778125144,False,18.2,0,18.2,42.0,241.2
Rob Roy,778125145,False,22.7,0,22.7,111.0,616.6
Macgully Terrain Park,778125146,False,13.8,0,13.8,110.2,679.0
Heather,778125147,False,16.1,0,16.1,151.4,878.5
K-2,778125148,False,23.8,0,23.8,106.2,561.4
Olympic,778125149,False,22.7,0,22.7,88.9,410.4
The Dark Side,778125150,False,22.0,0,22.0,88.9,381.4
North Challenger,778125151,False,17.5,0,17.5,106.6,435.0
South Challenger,778125152,False,22.8,0,22.8,107.9,454.7
Challenger Terrain Park,778125153,False,23.5,0,23.5,97.3,413.6
Heather's Escape,778125154,False,23.6,0,23.6,70.7,304.1
Little John,778125155,False,14.8,0,14.8,135.3,895.1
Amy's Run,778125156,False,14.3,0,14.3,118.1,636.2
 _3,778125157,True,16.2,0,16.2,113.7,568.7
 _4,778125158,True,18.2,0,18.2,110.7,437.6
 _5,778125159,True,23.1,0,23.1,148.6,789.3
 _6,778125160,True,14.4,0,14.4,91.3,511.6
 _7,778125161,True,11.5,0,11.5,55.8,388.0
Amy's Escape,778125162,False,11.5,0,11.5,27.9,187.2
Payton's Bypass,778125163,False,5.5,0,5.5,14.3,380.6
Joust,778125164,False,10.6,0,10.6,27.1,196.2
Ambush,778125165,False,13.4,0,13.4,41.8,330.9
Ablaze,778125166,False,15.9,0,15.9,31.0,173.8
Stephen's Pass,778125167,False,9.7,0,9.7,115.7,1177.9
Lois Lane,778125168,False,8.4,0,8.4,131.6,1206.6
North Peak Pass,778125169,False,9.1,0,9.1,116.1,1169.4
Tyler's Tangle,778125170,True,24.5,0,24.5,51.6,202.3
Ross Ravine,778125171,False,8.9,0,8.9,42.9,498.2
Lazy Way,778125172,False,8.7,0,8.7,57.3,538.3
Leslie's Quest,778125173,False,16.1,0,16.1,95.7,673.0
Moor Trail,778125174,False,15.7,0,15.7,45.8,250.3
Andrew's Alley,778125175,False,14.4,0,14.4,58.3,311.9
Floradora,778125176,False,14.7,0,14.7,97.3,565.4
Bucky's,778125177,False,12.8,0,12.8,80.3,443.5
The Gultch,778125178,False,16.5,0,16.5,42.7,217.8
Black Diamond,778125179,False,23.5,0,23.5,78.9,507.3
 _8,778125180,True,12.9,0,12.9,54.5,330.3
