name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Summit Park,768986981,False,19.4,0,19.4,41.5,268.1
Half Rabbit,768986982,False,12.5,0,12.5,64.7,561.1
Trollcross,768986983,False,11.8,0,11.8,39.1,309.3
Haug Wild,768986984,False,12.7,0,12.7,31.5,196.9
Fall Line,768986985,False,12.1,0,12.1,23.2,119.5
Lee's Run,768986986,False,15.5,0,15.5,49.9,278.7
The Chute,768986987,False,15.6,0,15.6,22.5,99.7
Jumping Judy,768986988,False,17.8,0,17.8,22.8,85.4
Storebakken,768986989,False,17.9,0,17.9,63.9,311.9
Galende,768986990,False,17.4,0,17.4,49.5,248.1
Jim's Run,768986991,False,16.1,0,16.1,62.4,291.9
Nissenbakken,768986992,False,13.2,0,13.2,59.7,316.1
Vosterdohl,769059513,False,12.3,0,12.3,55.8,372.7
Lillebakken,769059514,False,9.7,0,9.7,30.2,241.8
Logan's Run,769059515,False,12.6,0,12.6,60.9,405.9
Julebakken,769059516,False,14.6,0,14.6,56.1,376.5
Valhalla Park,769059517,False,12.9,0,12.9,25.2,149.0
Valgrind Park,769059518,False,11.2,0,11.2,20.5,123.6
Bjorkedahl,769059519,False,11.4,0,11.4,46.9,424.8
Tomtebakken,891097299,False,11.1,0,11.1,13.0,78.7
Utgang,891097300,False,11.7,0,11.7,6.3,76.0
