name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Bump Buster,730937805,False,19.7,0,19.7,67.6,283.4
Twister,730937806,False,21.9,0,21.9,70.1,317.1
Tobel,730937807,False,17.9,0,17.9,71.8,333.5
Sunrise,730937808,False,16.7,0,16.7,50.5,303.0
Gentle Ben,730937809,False,10.6,0,10.6,20.5,190.7
Trollway,730937810,False,9.2,0,9.2,18.8,142.2
Barnyard,730937811,False,14.8,0,14.8,50.7,298.2
Sutter's Ridge,730937812,False,22.7,0,22.7,70.8,348.9
Yodeler,730941080,False,23.3,0,23.3,71.5,327.1
Shelley's Way,730941081,False,10.0,0,10.0,14.8,121.5
Nissi Sti,730941082,False,14.1,0,14.1,49.4,320.2
Upper Sandy's,730941083,False,7.6,0,7.6,7.6,94.6
Lower Sandy's,730941084,False,15.0,0,15.0,57.2,344.3
Double Diamond,730941085,False,30.9,0,30.9,44.8,134.4
Nutcracker,730941086,False,24.8,0,24.8,37.9,99.0
Dare Devil,730941087,False,16.6,0,16.6,30.8,128.3
West Ridge Trail,730941088,False,11.3,0,11.3,17.0,257.8
Hans Down,1013345199,False,14.3,0,14.3,24.0,120.5
