name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Bonneville,353299077,False,12.6,0,12.6,149.9,945.5
Bonneville_0,353299078,False,23.2,0,23.2,90.3,375.5
Fremont,353299079,False,16.9,0,16.9,112.6,665.0
Lander Cutoff,353299080,False,24.6,0,24.6,88.2,364.9
Lower Pipestone,353299081,False,13.0,0,13.0,45.9,229.9
Lower Sky Pilot,353299082,False,21.4,0,21.4,92.2,388.4
Roaring Fork,353299083,False,25.2,0,25.2,111.8,334.0
Sky Pilot,353299084,False,20.9,0,20.9,119.4,412.0
Sunny's,353299085,False,26.6,0,26.6,87.9,306.3
Sweetwater Gap,353299086,False,23.9,0,23.9,55.9,262.1
Temple,353299087,False,23.5,0,23.5,107.8,394.9
Upper Fremont,353299088,False,25.9,0,25.9,95.7,392.2
Wind River Return,353299089,False,7.3,0,7.3,53.4,1004.0
Wind River,353299090,False,11.3,0,11.3,41.7,380.0
Wind River_1,353299091,False,19.5,0,19.5,179.0,789.1
Coyote,353502796,False,15.8,0,15.8,48.4,410.9
Lost Eagle,353502797,False,25.6,0,25.6,158.0,499.1
Lynx,353502798,False,14.6,0,14.6,48.6,350.2
Pipestone,353502799,False,14.1,0,14.1,37.9,176.0
Steve's,353502800,False,17.2,0,17.2,170.5,789.2
Upper Pipestone,353502801,False,21.7,0,21.7,102.3,320.3
Warbonnet,353502802,False,21.6,0,21.6,149.8,543.1
Washakie Traverse,353502803,False,15.3,0,15.3,90.9,633.9
White Rock,353502804,False,25.2,0,25.2,149.0,607.0
 _2,1018875096,False,8.6,0,8.6,25.6,206.0
 _3,1018875097,False,11.4,0,11.4,21.3,188.8
Porcupine,1018879908,False,15.9,0,15.9,82.9,574.1
Mistake Lake Traverse,1018883750,False,3.8,0,3.8,7.7,432.9
Competition,1018884251,False,14.2,0,14.2,27.9,186.6
