,coordinates,elevation
0,"(42.4942201, -71.8947926)",497.48455810546875
1,"(42.4943229, -71.89487845)",496.8167724609375
2,"(42.4944257, -71.8949643)",495.09661865234375
3,"(42.49452855, -71.89495895)",493.475341796875
4,"(42.4946314, -71.89495360000001)",492.0345153808594
5,"(42.49473425, -71.89494825)",491.0007019042969
6,"(42.4948371, -71.8949429)",489.8876037597656
7,"(42.4949083, -71.8948731625)",489.01690673828125
8,"(42.4949795, -71.89480342499999)",488.33648681640625
9,"(42.4950507, -71.8947336875)",487.8155822753906
10,"(42.4951219, -71.89466395)",487.18994140625
11,"(42.4951931, -71.8945942125)",486.47039794921875
12,"(42.4952643, -71.894524475)",485.7597351074219
13,"(42.495335499999996, -71.8944547375)",485.0588073730469
14,"(42.4954067, -71.894385)",484.35504150390625
15,"(42.4954759125, -71.894339)",483.7061767578125
16,"(42.49554512499999, -71.894293)",483.0723876953125
17,"(42.495614337499994, -71.89424700000001)",482.47296142578125
18,"(42.495683549999995, -71.89420100000001)",481.9244689941406
19,"(42.4957527625, -71.89415500000001)",481.38861083984375
20,"(42.495821975, -71.89410900000001)",480.8522033691406
21,"(42.4958911875, -71.89406300000002)",480.31427001953125
22,"(42.4959604, -71.894017)",479.7685852050781
23,"(42.496015775000004, -71.8939503375)",479.1827697753906
24,"(42.49607115, -71.89388367500001)",478.5893859863281
25,"(42.496126524999994, -71.89381701250001)",477.9925231933594
26,"(42.496181899999996, -71.89375035)",477.37310791015625
27,"(42.496237275, -71.8936836875)",476.5103759765625
28,"(42.49629265, -71.893617025)",475.1788024902344
29,"(42.496348025, -71.89355036250001)",473.4353332519531
30,"(42.4964034, -71.8934837)",471.0999755859375
31,"(42.4964844875, -71.8934783375)",469.7027587890625
32,"(42.496565575, -71.89347297500001)",468.2305908203125
33,"(42.4966466625, -71.8934676125)",466.605712890625
34,"(42.49672775, -71.89346225)",465.06011962890625
35,"(42.4968088375, -71.8934568875)",463.84375
36,"(42.496889925, -71.89345152499999)",463.0467224121094
37,"(42.4969710125, -71.8934461625)",462.23309326171875
38,"(42.4970521, -71.8934408)",461.4578552246094
39,"(42.497133175, -71.893392525)",460.41961669921875
40,"(42.49721425, -71.89334424999998)",459.2072448730469
41,"(42.497295324999996, -71.89329597499999)",457.44183349609375
42,"(42.4973764, -71.89324769999999)",454.9506530761719
43,"(42.497457475000004, -71.89319942499999)",452.30072021484375
44,"(42.49753855, -71.89315115)",450.49261474609375
45,"(42.497619625, -71.893102875)",448.8614501953125
46,"(42.4977007, -71.8930546)",447.3026428222656
47,"(42.49781738750001, -71.892974125)",444.9990234375
48,"(42.497934075, -71.89289364999999)",442.1807861328125
49,"(42.4980507625, -71.89281317499999)",439.28997802734375
50,"(42.49816745, -71.8927327)",437.00445556640625
51,"(42.498284137499994, -71.892652225)",434.7916259765625
52,"(42.498400825, -71.89257175)",432.1512451171875
53,"(42.4985175125, -71.892491275)",429.3926086425781
54,"(42.4986342, -71.8924108)",427.5124206542969
55,"(42.498719225, -71.89233529999998)",426.2520751953125
56,"(42.49880425, -71.89225979999999)",424.7269287109375
57,"(42.498889274999996, -71.8921843)",422.92694091796875
58,"(42.4989743, -71.89210879999999)",421.0131530761719
59,"(42.499059325000005, -71.8920333)",419.4128112792969
60,"(42.49914435, -71.8919578)",418.0625305175781
61,"(42.499229375, -71.89188229999999)",416.6790771484375
62,"(42.4993144, -71.8918068)",415.2720031738281
63,"(42.4994370125, -71.89180719999999)",413.4945068359375
64,"(42.499559625, -71.89180759999999)",411.5691833496094
65,"(42.499682237500004, -71.891808)",409.5947265625
66,"(42.499804850000004, -71.8918084)",407.6596374511719
67,"(42.499927462500004, -71.8918088)",405.75799560546875
68,"(42.500050075000004, -71.89180920000001)",404.3653869628906
69,"(42.5001726875, -71.89180960000002)",403.1824951171875
70,"(42.5002953, -71.89181)",401.9659118652344
71,"(42.5003664875, -71.8917214875)",401.0877990722656
72,"(42.500437675, -71.891632975)",399.9623107910156
73,"(42.5005088625, -71.8915444625)",398.7768859863281
74,"(42.500580049999996, -71.89145595)",397.49761962890625
75,"(42.500651237499994, -71.8913674375)",396.1955261230469
76,"(42.500722425, -71.891278925)",394.7576599121094
77,"(42.500793612500004, -71.8911904125)",393.2999267578125
78,"(42.5008648, -71.8911019)",391.91265869140625
79,"(42.50089645, -71.89098924999999)",390.72808837890625
80,"(42.5009281, -71.8908766)",388.9804992675781
81,"(42.50095975000001, -71.89076395000001)",387.11572265625
82,"(42.500991400000004, -71.8906513)",385.5638732910156
83,"(42.50102305, -71.89053865)",383.9538879394531
84,"(42.5010547, -71.89042599999999)",382.21490478515625
85,"(42.501086349999994, -71.89031334999999)",380.045654296875
86,"(42.501118, -71.8902007)",377.7860412597656
87,"(42.501171375, -71.89008229999999)",375.8034362792969
