,coordinates,elevation
0,"(44.1579921, -71.6978855)",1193
1,"(44.1582867, -71.6980212)",1238
2,"(44.1584478, -71.6980583)",1171
3,"(44.1585478, -71.6980922)",1171
4,"(44.1588281, -71.6978844)",1175
5,"(44.1590626, -71.6978563)",1175
6,"(44.1593139, -71.6976882)",1175
7,"(44.1594747, -71.6976462)",1175
8,"(44.1597193, -71.6975341)",1175
9,"(44.1599471, -71.6972259)",1175
10,"(44.1606152, -71.6966133)",1100
11,"(44.1613882, -71.6958361)",1100
12,"(44.1615936, -71.6957677)",1074
13,"(44.1616393, -71.6957494)",1074
14,"(44.1619276, -71.6956773)",1074
15,"(44.1621579, -71.6956129)",1074
16,"(44.1623796, -71.6955398)",1074
17,"(44.1625896, -71.6955642)",989
18,"(44.1628287, -71.6957011)",989
19,"(44.1628832, -71.6959414)",1013
20,"(44.162939, -71.6962257)",1013
21,"(44.1630294, -71.6964546)",1013
0,"(44.1578014, -71.6988837)",1238
1,"(44.1580777, -71.698857)",1238
2,"(44.1582759, -71.6988838)",1238
3,"(44.1584087, -71.6989236)",1171
4,"(44.1586129, -71.6989277)",1171
5,"(44.1587441, -71.6986268)",1171
6,"(44.1589162, -71.6983667)",1171
7,"(44.1591495, -71.6982406)",1171
8,"(44.1593158, -71.6983341)",1171
9,"(44.1595024, -71.6983829)",1171
10,"(44.159657, -71.6981675)",1171
11,"(44.1597824, -71.6981593)",1171
12,"(44.159972, -71.6984358)",1171
13,"(44.1600653, -71.6984073)",1171
14,"(44.1602841, -71.6979601)",1171
15,"(44.1604007, -71.6979439)",1171
16,"(44.1605057, -71.6981065)",1085
17,"(44.1605991, -71.6980577)",1085
18,"(44.1607682, -71.6976715)",1100
19,"(44.1608519, -71.6977003)",1100
20,"(44.1611095, -71.6979642)",1085
21,"(44.1612232, -71.6979235)",1085
22,"(44.1613661, -71.6976552)",1100
23,"(44.1615323, -71.6977812)",1100
24,"(44.1616908, -71.6977567)",1100
25,"(44.1618298, -71.6976145)",1100
26,"(44.1620719, -71.6974235)",1100
27,"(44.1622527, -71.6970698)",1100
28,"(44.1625804, -71.6965608)",1013
29,"(44.162884, -71.6964643)",1013
30,"(44.1630294, -71.6964546)",1013
0,"(44.1617638, -71.6954858)",1074
1,"(44.1617638, -71.6954858)",1074
2,"(44.1616336, -71.6955195)",1074
3,"(44.1615607, -71.6954544)",1074
4,"(44.1615252, -71.6953785)",1074
5,"(44.1617426, -71.6949947)",1074
6,"(44.1621717, -71.6942371)",1074
7,"(44.1630378, -71.692708)",915
8,"(44.1639758, -71.691774)",915
9,"(44.1647932, -71.6911576)",785
10,"(44.1663188, -71.6901713)",785
11,"(44.1683167, -71.6893456)",670
12,"(44.1684186, -71.6893905)",670
13,"(44.1689943, -71.6896439)",639
14,"(44.1684994, -71.6901115)",691
