,coordinates,elevation
0,"(44.9213758, -72.5163291)",904
1,"(44.9216314, -72.5164454)",904
2,"(44.9218278, -72.5165622)",904
3,"(44.9219875, -72.5166648)",904
4,"(44.9221473, -72.5168288)",938
5,"(44.9222997, -72.5170237)",938
6,"(44.9224522, -72.517198)",938
7,"(44.9225756, -72.517321)",938
8,"(44.9227208, -72.5174646)",938
9,"(44.922866, -72.5176184)",938
10,"(44.922926, -72.5176389)",889
11,"(44.9230072, -72.5176092)",889
12,"(44.9231194, -72.5175312)",889
0,"(44.9259879, -72.5225198)",999
1,"(44.9261041, -72.5221609)",999
2,"(44.9261912, -72.5216687)",999
3,"(44.9262928, -72.5210022)",999
4,"(44.9264526, -72.5201306)",931
5,"(44.9265832, -72.5192385)",931
6,"(44.9266776, -72.5186335)",861
7,"(44.9268446, -72.5176902)",861
8,"(44.9270261, -72.5166648)",792
9,"(44.927135, -72.515988)",811
10,"(44.9272656, -72.5151688)",811
0,"(44.9241492, -72.5261626)",1159
1,"(44.9242008, -72.5264543)",1159
2,"(44.9242704, -72.5267117)",1159
3,"(44.9242883, -72.5267778)",1159
4,"(44.9243288, -72.5270395)",1159
5,"(44.9243187, -72.5272821)",1117
6,"(44.9242863, -72.5274797)",1117
7,"(44.924322, -72.5277293)",1117
8,"(44.924386, -72.5280481)",1117
9,"(44.9244298, -72.5281908)",1117
10,"(44.9244635, -72.5283811)",1117
11,"(44.9244972, -72.5285286)",1117
12,"(44.9244366, -72.5287665)",1117
13,"(44.9243119, -72.5290376)",1117
14,"(44.9242311, -72.5292137)",1084
15,"(44.9241671, -72.5293849)",1084
16,"(44.9242917, -72.5296323)",1084
17,"(44.9244096, -72.5296704)",1084
18,"(44.9245477, -72.5296609)",1084
19,"(44.9246926, -72.5295229)",1084
20,"(44.9248475, -72.5293136)",1084
21,"(44.9249721, -72.5291518)",1117
22,"(44.925117, -72.5289282)",1043
23,"(44.9252551, -72.5286237)",1043
24,"(44.9254336, -72.5282622)",1043
25,"(44.9255279, -72.5280766)",1043
26,"(44.9256338, -72.5278813)",1043
27,"(44.9256863, -72.5277935)",1043
28,"(44.9258427, -72.527134)",1043
29,"(44.9259612, -72.5266232)",1047
30,"(44.9259807, -72.5265393)",1047
31,"(44.9261476, -72.5259241)",1047
32,"(44.9262711, -72.5255959)",1047
33,"(44.9264163, -72.5250525)",1047
34,"(44.9265034, -72.5246833)",1040
35,"(44.9265905, -72.5242014)",1040
36,"(44.926605, -72.5238938)",1040
37,"(44.926603, -72.5235972)",1040
38,"(44.9265308, -72.5233649)",1040
39,"(44.9263219, -72.5230222)",1040
40,"(44.9261622, -72.5227761)",999
41,"(44.9259879, -72.5225198)",999
0,"(44.9256863, -72.5277935)",1043
1,"(44.9256616, -72.5282841)",1043
2,"(44.9256722, -72.5285746)",1043
3,"(44.9257059, -72.5287951)",1043
4,"(44.9258002, -72.5289283)",1043
5,"(44.9261405, -72.5290673)",1043
6,"(44.9263901, -72.5291397)",1043
7,"(44.9266366, -72.5293453)",1024
8,"(44.9269277, -72.5295827)",1024
9,"(44.9272311, -72.5297159)",977
10,"(44.9275378, -72.5299747)",977
11,"(44.9277832, -72.530281)",977
12,"(44.9280944, -72.5306624)",977
13,"(44.9283586, -72.5310015)",977
14,"(44.9287522, -72.5312389)",977
15,"(44.9291581, -72.5315053)",940
16,"(44.9293467, -72.5316095)",919
17,"(44.9296377, -72.5315979)",919
18,"(44.9297689, -72.5315053)",919
19,"(44.929896, -72.5312447)",884
20,"(44.9299452, -72.5306366)",884
21,"(44.9300026, -72.5301097)",884
22,"(44.9301338, -72.529658)",884
23,"(44.930301, -72.5291963)",884
24,"(44.930609, -72.5286057)",868
25,"(44.9308502, -72.5281666)",868
26,"(44.9310708, -72.527815)",868
27,"(44.9312431, -72.5274526)",868
28,"(44.9313854, -72.5271911)",794
29,"(44.9316302, -72.5270521)",784
30,"(44.9318393, -72.5269189)",784
31,"(44.9319783, -72.5266678)",784
32,"(44.9320958, -72.5264825)",784
33,"(44.9322492, -72.5263977)",784
34,"(44.9324337, -72.5263804)",784
35,"(44.932651, -72.526334)",784
36,"(44.932856, -72.5262356)",784
37,"(44.9330814, -72.526085)",784
38,"(44.9332823, -72.5259518)",784
39,"(44.9335324, -72.5258013)",727
40,"(44.9337714, -72.5256354)",727
41,"(44.9338667, -72.5255657)",727
42,"(44.9342166, -72.5255262)",727
43,"(44.9345204, -72.5254538)",727
44,"(44.9347909, -72.5253206)",727
45,"(44.9350123, -72.5251817)",727
46,"(44.9352132, -72.5249211)",734
47,"(44.9354099, -72.5245794)",734
48,"(44.9355657, -72.5242957)",699
49,"(44.9357215, -72.5240698)",699
50,"(44.9359346, -72.5238266)",699
51,"(44.9361629, -72.5236707)",699
52,"(44.9363763, -72.5234328)",699
53,"(44.9365946, -72.5231722)",699
54,"(44.9367627, -72.5229232)",699
55,"(44.9369103, -72.5226221)",695
56,"(44.9370537, -72.5222283)",695
57,"(44.937189, -72.5218114)",695
58,"(44.9372628, -72.5214524)",695
59,"(44.9373338, -72.5210775)",695
60,"(44.9374259, -72.5207833)",686
61,"(44.9375797, -72.5204056)",653
62,"(44.9377196, -72.5199843)",653
63,"(44.9378654, -72.5196051)",653
64,"(44.9379843, -72.5192518)",653
65,"(44.9381646, -72.5188986)",653
66,"(44.938263, -72.518528)",643
67,"(44.9382958, -72.5181226)",643
68,"(44.9382917, -72.5178389)",643
69,"(44.9382548, -72.5175899)",643
70,"(44.9381769, -72.5173119)",643
71,"(44.9381072, -72.5169413)",643
72,"(44.9380581, -72.516617)",628
73,"(44.9379966, -72.5161943)",628
74,"(44.937931, -72.5158352)",628
75,"(44.9378859, -72.5155167)",628
76,"(44.9378531, -72.5151461)",628
0,"(44.9257059, -72.5287951)",1043
1,"(44.9257934, -72.5287596)",1043
2,"(44.9258737, -72.528654)",1043
3,"(44.9260011, -72.5283492)",1043
4,"(44.9261323, -72.5280365)",1043
5,"(44.926243, -72.5277296)",1043
6,"(44.9263496, -72.5274748)",1043
7,"(44.9264685, -72.5272085)",1043
8,"(44.9265134, -72.5271077)",1043
9,"(44.9266079, -72.5268957)",1047
10,"(44.9267389, -72.526653)",1047
11,"(44.926828, -72.5263671)",1047
12,"(44.9268681, -72.526299)",1047
13,"(44.926963, -72.5260254)",1047
14,"(44.9271263, -72.5257411)",965
15,"(44.9274989, -72.5251491)",965
16,"(44.9275517, -72.5250652)",965
17,"(44.9281328, -72.5241747)",986
18,"(44.9285005, -72.5236109)",986
19,"(44.9287101, -72.5232895)",986
20,"(44.9292152, -72.5224742)",926
21,"(44.9297298, -72.5216716)",926
0,"(44.9213758, -72.5163291)",904
1,"(44.9214503, -72.5161008)",904
2,"(44.9215083, -72.5158957)",904
3,"(44.92161, -72.5157214)",904
4,"(44.9217262, -72.5156701)",904
5,"(44.9219367, -72.5156291)",904
6,"(44.9220601, -72.5156907)",904
7,"(44.9222199, -72.5159162)",904
8,"(44.922336, -72.5160598)",904
9,"(44.9224221, -72.5160731)",904
10,"(44.9225153, -72.515947)",904
11,"(44.922646, -72.5157888)",904
12,"(44.9228073, -72.5154805)",904
0,"(44.9342137, -72.5159434)",697
1,"(44.9345047, -72.5155634)",697
2,"(44.9347754, -72.5153599)",697
3,"(44.9350924, -72.514938)",697
4,"(44.9353297, -72.5146028)",697
5,"(44.9355879, -72.5140351)",646
6,"(44.9359272, -72.5136222)",646
7,"(44.9363754, -72.5134484)",646
8,"(44.9368059, -72.5131132)",646
9,"(44.9372014, -72.5128526)",646
10,"(44.9375528, -72.5125298)",613
11,"(44.9379146, -72.5119554)",599
0,"(44.9319481, -72.5088513)",679
1,"(44.931841, -72.50857)",679
2,"(44.9317445, -72.5083413)",679
3,"(44.931604, -72.5079658)",650
4,"(44.931528, -72.5077136)",650
5,"(44.9314559, -72.507483)",650
6,"(44.9314141, -72.5073542)",650
0,"(44.9328077, -72.5148511)",747
1,"(44.9331504, -72.5149876)",747
2,"(44.9334398, -72.5151311)",697
3,"(44.9336601, -72.515298)",697
4,"(44.9338105, -72.5154619)",697
5,"(44.9339676, -72.5156331)",697
6,"(44.9342137, -72.5159434)",697
7,"(44.9344088, -72.5159915)",697
8,"(44.9347375, -72.5159631)",697
9,"(44.935129, -72.5158212)",697
10,"(44.9354643, -72.5157515)",660
