mountain,direction,difficulty,ease,vert,blacklist
49_degrees_north,n,31.3,13.1,569.0,
alta,n,48.6,12.5,762.0,
alyeska,e,43.7,14.1,876.0,
andes_tower_hills,n,17.3,12.6,65.0,
angel_fire,n,30.7,9.4,667.0,
arapahoe_basin,n,42.2,14.3,812.0,
aspen,n,43.5,11.3,1370.0,
attitash,n,27.7,11.0,506.0,
beaver_creek,w,32.5,10.1,1224.0,
big_sky,n,51.0,7.4,1321.0,
"black_mountain,_maine",w,22.1,15.1,379.0,
bogus_basin,e,25.1,11.9,549.0,
bolton_valley,e,26.8,10.1,474.0,
breckenridge,w,39.7,7.2,997.0,
bretton_woods,n,27.2,7.6,426.0,
bridger_bowl,w,33.0,11.7,732.0,
brighton,n,36.2,14.1,523.0,
bristol,w,21.2,9.8,349.0,
bromley,s,26.1,13.5,394.0,
burke,n,29.7,15.8,600.0,
cannon,n,31.5,10.1,669.0,
cochran's,n,16.4,15.1,98.0,
"copper_mountain,_colorado",n,37.4,12.5,841.0,
crested_butte,n,48.1,9.6,908.0,
crystal_mountain,w,48.2,13.4,949.0,
deer_valley,n,36.6,10.3,899.0,park_city
discovery,s,38.1,15.5,743.0,
gore,w,31.0,11.0,762.0,
grand_targhee,e,35.7,15.3,693.0,
gunstock,w,23.4,11.9,395.0,
heavenly,n,41.0,10.0,1012.0,
holiday_valley,n,24.0,10.8,240.0,
hunter,n,32.0,12.3,477.0,
jackson_hole,w,43.5,13.4,1217.0,
jay_peak,n,32.9,10.9,605.0,
june_mountain,n,28.6,15.1,781.0,
keystone,n,28.8,12.5,808.0,
killington,w,32.6,8.5,926.0,
kirkwood,n,39.7,15.0,562.0,
loon,n,28.0,10.2,666.0,
loveland,n,36.8,13.7,666.0,
lutsen_mountains,n,29.9,9.4,240.0,
mad_river_glen,w,30.6,15.9,613.0,
magic,n,30.3,11.8,448.0,
mammoth,n,44.0,10.1,880.0,
montana_snowbowl,s,34.5,13.2,775.0,
mount_bachelor,n,30.2,11.9,1025.0,
mount_bohemia,s,32.6,11.4,252.0,
mount_hood_meadows,s,36.4,11.2,846.0,
mount_rose,n,39.1,10.9,495.0,
mount_snow,w,27.8,10.2,504.0,
mount_sunapee,n,23.7,10.5,445.0,
mowhawk,n,19.6,14.4,176.0,
nashoba_valley,n,18.7,12.4,68.0,
northstar_california,n,30.7,11.4,695.0,
okemo,w,26.9,9.8,658.0,
palisades_tahoe,n,47.9,7.7,854.0,
park_city,w,42.0,7.2,941.0,
pat's_peak,n,22.4,10.9,229.0,
pico,n,25.6,10.2,588.0,
powder_mountain,n,33.6,14.3,615.0,
purgatory,n,33.5,11.5,605.0,
saddleback,n,27.8,7.8,563.0,
schweitzer,s,39.8,10.9,732.0,
sierra_at_tahoe,n,28.8,11.8,667.0,
silverton,e,48.6,28.4,985.0,
ski_santa_fe,n,28.1,9.8,534.0,
smuggler's_notch,n,35.0,12.2,772.0,
snowbasin,w,42.8,14.5,919.0,
snowbird,n,48.7,11.2,1013.0,
snowmass,n,35.1,13.5,1347.0,
solitude,w,44.7,14.4,734.0,brighton
steamboat_springs,e,34.5,9.5,1120.0,
stowe,w,33.2,9.5,727.0,
stratton,n,28.6,8.4,578.0,
sugar_bowl,n,34.0,11.2,449.0,
sugarbush,w,31.2,9.8,783.0,
sugarloaf,n,32.5,8.5,859.0,
suicide_six,n,24.9,17.3,184.0,
sun_valley,w,34.3,15.4,1021.0,
sunday_river,n,31.3,8.3,707.0,
tamarack,w,30.1,16.2,835.0,
taos,n,36.9,16.0,922.0,
telluride,n,41.4,9.8,1237.0,
timberline_lodge,s,26.4,10.0,1372.0,
vail,n,38.1,9.1,1052.0,
wachusett,n,19.7,12.2,291.0,
waterville_valley,w,29.5,13.2,609.0,
whiteface,w,35.5,10.2,1028.0,
whitefish,s,40.1,9.6,699.0,
wildcat,n,28.0,14.6,620.0,
windham,n,26.6,13.7,421.0,
winter_park,n,35.3,9.0,886.0,
wolf_creek,n,23.1,11.9,452.0,
