,coordinates,elevation
0,"(44.5216965, -72.786615)",612
1,"(44.5219944, -72.7868242)",612
2,"(44.5222446, -72.7869368)",612
3,"(44.5225888, -72.7868938)",612
4,"(44.5231013, -72.7868831)",577
5,"(44.5235756, -72.7869582)",577
6,"(44.5240192, -72.7870977)",577
7,"(44.5243634, -72.787323)",577
8,"(44.5251666, -72.7879024)",559
9,"(44.5256054, -72.7881848)",559
10,"(44.5258167, -72.7883208)",559
11,"(44.5263598, -72.7887285)",559
12,"(44.5273159, -72.7892327)",512
13,"(44.5276142, -72.78934)",512
14,"(44.5278666, -72.7894688)",512
15,"(44.5281726, -72.7896619)",547
16,"(44.5284326, -72.7898765)",547
17,"(44.528685, -72.7900803)",547
18,"(44.528861, -72.7901232)",547
19,"(44.5290904, -72.7901018)",547
20,"(44.5294346, -72.7900803)",506
21,"(44.5296105, -72.7900696)",506
22,"(44.5297788, -72.7901554)",506
23,"(44.5299164, -72.7903271)",506
24,"(44.5300847, -72.7905416)",506
25,"(44.5302071, -72.7906167)",506
26,"(44.5304595, -72.7906597)",506
27,"(44.5305985, -72.7906648)",506
28,"(44.5307509, -72.7906294)",506
29,"(44.5309195, -72.7906077)",506
30,"(44.5311409, -72.7906193)",506
31,"(44.5312952, -72.7906831)",500
32,"(44.5313983, -72.7906957)",500
33,"(44.531531, -72.7907917)",500
34,"(44.5316417, -72.7908432)",500
35,"(44.5317673, -72.7908585)",500
36,"(44.531875, -72.7908172)",500
37,"(44.5319585, -72.7907026)",500
38,"(44.5320103, -72.7905576)",500
39,"(44.5320792, -72.7904074)",500
40,"(44.5321528, -72.7902926)",500
41,"(44.5322537, -72.7902899)",500
42,"(44.5324013, -72.7904106)",500
43,"(44.5326537, -72.7905661)",500
44,"(44.5329138, -72.7906895)",500
45,"(44.5330744, -72.7906895)",500
46,"(44.5331661, -72.7905715)",500
47,"(44.5332264, -72.790461)",500
48,"(44.5332225, -72.790343)",500
49,"(44.5332044, -72.7902121)",500
50,"(44.5331661, -72.7899331)",500
51,"(44.5331601, -72.7898687)",500
0,"(44.5109418, -72.8066148)",687
1,"(44.5110188, -72.8071309)",687
2,"(44.5110188, -72.8073897)",687
3,"(44.5109529, -72.8079319)",687
4,"(44.5109882, -72.8087336)",699
5,"(44.5109389, -72.8089572)",699
6,"(44.510388, -72.810063)",672
7,"(44.5100198, -72.8107866)",680
8,"(44.509841, -72.811397)",680
9,"(44.509713, -72.81164)",680
10,"(44.509537, -72.811926)",680
11,"(44.509301, -72.812212)",680
12,"(44.509144, -72.812436)",680
13,"(44.50897, -72.812756)",729
14,"(44.50891, -72.81291)",729
15,"(44.508871, -72.813089)",729
16,"(44.508779, -72.813755)",729
17,"(44.508735, -72.813919)",729
18,"(44.508607, -72.814318)",729
19,"(44.508341, -72.814882)",762
20,"(44.50825, -72.815141)",707
21,"(44.508177, -72.815579)",707
22,"(44.508163, -72.815727)",707
23,"(44.508171, -72.815927)",707
24,"(44.508155, -72.816098)",707
25,"(44.508032, -72.816518)",707
26,"(44.507863, -72.81722)",729
27,"(44.507758, -72.817789)",729
28,"(44.507747, -72.81809)",729
29,"(44.5077088, -72.8183366)",729
30,"(44.5076399, -72.8185297)",729
31,"(44.5075634, -72.8186048)",729
32,"(44.5075064, -72.8186284)",729
33,"(44.5074789, -72.818656)",729
34,"(44.5074674, -72.8187069)",729
35,"(44.5074693, -72.818782)",750
36,"(44.507456, -72.8188464)",750
37,"(44.5074349, -72.8188974)",750
38,"(44.5073852, -72.8189966)",750
39,"(44.5073565, -72.8190824)",750
40,"(44.507324, -72.8192139)",750
41,"(44.5073048, -72.8192702)",750
42,"(44.5072781, -72.8193399)",750
43,"(44.5072382, -72.8193773)",750
44,"(44.5072076, -72.8194094)",750
45,"(44.5071656, -72.8194202)",750
46,"(44.5071273, -72.8194685)",750
47,"(44.5071235, -72.8195275)",750
48,"(44.5071082, -72.8196026)",750
49,"(44.507089, -72.8196401)",750
50,"(44.5070814, -72.8196991)",750
51,"(44.5071064, -72.8197961)",750
52,"(44.5071579, -72.8198761)",750
53,"(44.5071962, -72.8199566)",750
54,"(44.5072076, -72.8200693)",750
55,"(44.5071809, -72.8201926)",750
56,"(44.507112, -72.8203107)",750
57,"(44.5070431, -72.8203482)",750
